Klass;Ordning;Familj;Art;Kön;Latinskt namn;Lokal;Län;Datum;Bild;Kommentar;
Fröväxter;Gömfröiga;Höga buskar;Stenros;;Rosacanina;;;;;;
;Gömfröiga;Höga buskar;Vresros;;Rosarugosa;Saltsjö-Duvnäs;Sörmland;2017-08-24;image419.jpg;;
;Gömfröiga;Höga buskar;Benved;;Euonymus europaeus;;;;;;
;Gömfröiga;Höga buskar;Brakved;;Frangula alnus;Djurgården;Uppland;2018-09-04;image444.jpg;;
;Gömfröiga;Höga buskar;Havtorn;;Hippohae rhamnoides;;;;;;
;Gömfröiga;Höga buskar;Skogskornell;;Cornus sanguinea;;;;;;
;Gömfröiga;Höga buskar;Murgröna;;Hedera helix;Trollskogen;Öland;2017-08-05;image418.jpg;;
;Gömfröiga;Höga buskar;Vildkaprifol;;Lonicera periclymenum;;;;;;
;Gömfröiga;Höga buskar;Fläder;;Sambucus nigra;;;; ;;
Fröväxter;Gömfröiga;Höga buskar;Druvfläder;;Sambucus racemosa;Kocktorpssjön;Sörmland;2018-07-08;image415.jpg;;
;Gömfröiga;Höga buskar;Olvon;;Viburnum opulus;Djurgården;Uppland;2018-09-04;image442.jpg;;
;Gömfröiga;Höga buskar;Gullregn;;Fabaceae labunum;Källhagen;Sörmland;2017-06-14;image416.jpg;;
Fröväxter;Gömfröiga;Låga buskar;Krypvide;;Salix repens;;;;;;
;Gömfröiga;Låga buskar;Pors;;Myrica gale;;;;;;
;Gömfröiga;Låga buskar;Dvärgbjörk;;Betula nana;;;;;;
;Gömfröiga;Låga buskar;Mistel;;Viscum album;;;;;;
;Gömfröiga;Låga buskar;Krusbär;;Ribes uva-crispa;;;;;;
;Gömfröiga;Låga buskar;Trädgårdsvinbär;;Ribes rubrum;;;;;;
;Gömfröiga;Låga buskar;Svarta vinbär;;Ribes nigrum;;;;;;
;Gömfröiga;Låga buskar;Måbär;;Ribes apinum;Grankullavik;Öland;2017-07-27;image420.jpg;;
;Gömfröiga;Låga buskar;Tibast;;Daphne mezereum;;;;;;
Fröväxter;Gömfröiga;Låga buskar;Blåbär;;Vaccinium myrtillus;Erstavik;Sörmland;2023-07-12;image520.jpg;;
;Gömfröiga;Låga buskar;Lingon;;Vaccinium idaea;Furudal;Dalarna;2017-09-01;image422.jpg;;
;Gömfröiga;Låga buskar;Odon;;Vaccinium uliginosum;;;;;;
;Gömfröiga;Låga buskar;Mjölom;;Arctostaphylos uva-ursi;;;;;;
;Gömfröiga;Låga buskar;Kråkbär;;Empetrum nigrum;;;;;;
;Gömfröiga;Låga buskar;Ljung;;Colluna vulgaris;Nackreserv;Sörmland;2017-08-24;image421.jpg;;
Fröväxter;Gömfröiga;Gräs;Hundäxing;;Dactylis glomerata;Källhagen;Sörmland;2017-06-14;image471.jpg;;
;Gömfröiga;Gräs;Strandråg;;Leymus arenarius;Lycke sand;Öland;2017-07-29;image482.jpg;;
;Gömfröiga;Gräs;Ängshavre;;Arrenatherum pratense;Nackareserv;Sörmland;2017-08-24;image481.jpg;;
;Gömfröiga;Gräs;Ängsull;;Eriophorum angustifolium;Knisa mosse;Öland;2018-05-23;image479.jpg;;
Fröväxter;Gömfröiga;Kaveldunsväxter;Bredkavledun;;Typha latifolia;Böda;Öland;2017-08-02;image424.jpg;;
;Gömfröiga;Kaveldunsväxter;Smalkaveldun;;Typha angustifolia;Djurgården;Sörmland;2018-09-04;image445.jpg;;
Fröväxter;Gömfröiga;Slideväxter;Stor ängssyra;;Rumex thyrsiflorus;Kocktorp;Sörmland;2018-07-08;image405.jpg;;
;Gömfröiga;Slideväxter;Bergssyra;;;;;;;;
;Gömfröiga;Slideväxter;Pilört;;;;;;;;
Fröväxter;Gömfröiga;Slideväxter;Rabarber;;;;;;;;
;Gömfröiga;Korsblommiga;Ryssgubbe;;Bunias orientalis;Hammarby;Sörmland;2017-06-07;bild096.jpg;;
;Gömfröiga;Korsblommiga;Löktrav;;Alliaria petiolata;Källhagen;Sörmland;2017-06-14;image105.jpg;;
;Gömfröiga;Korsblommiga;Åkersenap;;Sinapis arvensis;Gräsö;Uppland;2017-05-07;bild100.jpg;;
;Gömfröiga;Korsblommiga;Sandvita;;Berteroa incana;Böda;Öland;2017-07-30;image452.jpg;;
;Gömfröiga;Korsblommiga;Åkerkårel;;Erysimum cheiranthoides;Källhagen;Sörmland;2017-06-14;image460.jpg;;
;Gömfröiga;Korsblommiga;Tandrot;;Cardamine bulbifera;Södra Greda;Öland;2018-05-24;image462.jpg;;
;Gömfröiga;Korsblommiga;;;;;;;;;
;Gömfröiga;Korsblommiga;;;;;;;;;
Fröväxter;Gömfröiga;Korsblommiga;;;;;;;;;
Fröväxter;Gömfröiga;Korgblommiga;Cikoria;;Cichorium intybus;Föra;Öland;2009-07-10;image123.jpg;;
;Gömfröiga;Korgblommiga;Slåttergubbe;;Arnica montana;Djupvik;Öland;2009-07-14;image115.jpg;;
;Gömfröiga;Korgblommiga;Baldersbrå;;Tripleurospermum inodorum;Nackareserv.;Sörmland;2017-08-24;image117.jpg;;
;Gömfröiga;Korgblommiga;Renfana;;Tanacetum vulgare;Västervik;Småland;2017-08-06;image119.jpg;;
;Gömfröiga;Korgblommiga;Gråbo;;Artemisia vulgaris;Byxelkrok;Öland;2017-07-27;image121.jpg;;
;Gömfröiga;Korgblommiga;Åkertistel;;Circium arvense;Böda ;Öland;2017-07-25;image039.jpg;;
;Gömfröiga;Korgblommiga;Rölleka;;Acheiella millefolium;Källhagen;Sörmland;2017-07-19;image037.jpg;;
